api,definition_file,definition_kind,responsibility,bj_added_owner,caller_file_count,production_callers,test_callers,helper_callers,script_callers,caller_files
game.realization_provenance.attach_realization_fallback_family,game/realization_provenance.py,FunctionDef,semantic replacement attribution,False,9,8,1,0,0,game/api.py;game/final_emission_response_type.py;game/final_emission_sealed_fallback.py;game/gm.py;game/gm_retry.py;game/social_exchange_emission.py;game/social_exchange_projection.py;game/upstream_response_repairs.py;tests/test_realization_provenance.py
game.final_emission_replay_projection.build_fem_runtime_lineage_events,game/final_emission_replay_projection.py,FunctionDef,replay projection/governance,False,8,1,4,3,0,game/final_emission_meta.py;tests/helpers/attribution_contract.py;tests/helpers/golden_replay_projection.py;tests/helpers/replacement_attribution_inventory.py;tests/test_attribution_contract.py;tests/test_replacement_attribution_inventory.py;tests/test_run_scenario_spine_validation.py;tests/test_runtime_lineage_telemetry.py
game.social_exchange_emission.build_final_strict_social_response,game/social_exchange_emission.py,FunctionDef,strict-social composition,False,8,1,7,0,0,game/final_emission_strict_social_stack.py;tests/test_narration_transcript_regressions.py;tests/test_realization_provenance.py;tests/test_social_answer_candidate.py;tests/test_social_emission_quality.py;tests/test_social_exchange_emission.py;tests/test_social_speaker_grounding.py;tests/test_social_target_authority_regressions.py
tests.helpers.dialogue_social_plan.make_valid_dialogue_social_plan,tests/helpers/dialogue_social_plan.py,FunctionDef,strict-social composition,False,8,0,8,0,0,tests/test_block_t_speaker_relocation_shadow_equivalence.py;tests/test_block_u_finalize_stack_divergence.py;tests/test_dialogue_plan_final_emission_gate.py;tests/test_dialogue_social_plan_block_x_contract_pins.py;tests/test_dialogue_social_plan_block_y.py;tests/test_dialogue_social_plan_block_z.py;tests/test_golden_replay_direct_seam.py;tests/test_strict_social_emergency_fallback_dialogue.py
game.final_emission_response_type.enforce_response_type_contract,game/final_emission_response_type.py,FunctionDef,final-emission policy/metadata,True,7,2,3,2,0,game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;tests/helpers/opening_fallback_gate_harness.py;tests/helpers/response_type_smoke.py;tests/test_final_emission_boundary_convergence.py;tests/test_final_emission_opening_fallback.py;tests/test_final_emission_response_type.py
tests.helpers.golden_replay_projection.protected_observation_field_paths,tests/helpers/golden_replay_projection.py,FunctionDef,replay projection/governance,False,7,0,4,3,0,tests/helpers/failure_classification_sync.py;tests/helpers/failure_dashboard_report.py;tests/helpers/replay_drift_risk.py;tests/test_failure_classification_contract.py;tests/test_failure_dashboard_controlled_failures.py;tests/test_golden_replay_projection.py;tests/test_ownership_registry.py
tests.helpers.opening_fallback_evidence.successful_opening_fem_meta,tests/helpers/opening_fallback_evidence.py,FunctionDef,fallback selection/projection,False,7,0,5,2,0,tests/helpers/failure_classification_sync.py;tests/helpers/replacement_attribution_inventory.py;tests/test_final_emission_meta.py;tests/test_final_emission_opening_fallback.py;tests/test_golden_replay_fallback_projection.py;tests/test_replacement_attribution_inventory.py;tests/test_run_scenario_spine_validation.py
game.dialogue_social_plan.validate_dialogue_social_plan,game/dialogue_social_plan.py,FunctionDef,strict-social composition,False,6,0,5,1,0,tests/helpers/dialogue_social_plan.py;tests/test_dialogue_social_convergence.py;tests/test_dialogue_social_plan.py;tests/test_dialogue_social_plan_block_x_contract_pins.py;tests/test_dialogue_social_plan_block_y.py;tests/test_dialogue_social_plan_block_z.py
game.final_emission_finalize.finalize_emission_output,game/final_emission_finalize.py,FunctionDef,finalization/exit,True,6,2,4,0,0,game/final_emission_generic_exit.py;game/final_emission_strict_social_stack.py;tests/test_fallback_behavior_gate.py;tests/test_final_emission_channel_separation.py;tests/test_final_emission_visibility.py;tests/test_manual_play_latency.py
game.final_emission_meta.stamp_producer_repair_kind,game/final_emission_meta.py,FunctionDef,final-emission policy/metadata,False,6,6,0,0,0,game/final_emission_passive_scene_pressure.py;game/final_emission_referential_clarity.py;game/final_emission_repairs.py;game/final_emission_strict_social_stack.py;game/final_emission_terminal_pipeline.py;game/final_emission_visibility_fallback.py
game.final_emission_visibility_fallback.VisibilitySelectedFallback,game/final_emission_visibility_fallback.py,ClassDef,fallback selection/projection,False,6,3,3,0,0,game/final_emission_opening_fallback.py;game/final_emission_passive_scene_pressure.py;game/final_emission_scene_emit_integrity.py;tests/test_final_emission_sealed_fallback.py;tests/test_final_emission_visibility_fallback.py;tests/test_speaker_contract_enforcement.py
game.final_emission_visibility_fallback.first_mention_composition_meta,game/final_emission_visibility_fallback.py,FunctionDef,fallback selection/projection,False,6,4,2,0,0,game/final_emission_first_mention_composition.py;game/final_emission_passive_scene_pressure.py;game/final_emission_scene_emit_integrity.py;game/final_emission_sealed_fallback.py;tests/test_final_emission_visibility_fallback.py;tests/test_speaker_contract_enforcement.py
